Tweets	Links	Search term (exactly this expression)	Location	Sentiment
Huddersfield were shit as well to be honest	https://twitter.com/marcgaustin/status/1059566588314222593		UK	neg
This is going to be controversial, but it's the truth. You choose your sides, choose who you ally with. Those racist, lowlife scum who burned a cardboard Grenfell will be Brexiters. Of that I've no doubt. I could not tolerate lining up with them. I'd refuse to. Everyone should.	https://twitter.com/TimDouglasHR/status/1059565449476800517		UK	neg
It was disgusting	https://twitter.com/TimDouglasHR/status/1059565449476800517		UK	neg
Whoever shot and put together the promo pic for the spice girls announcement is so bad at their job I can’t even cope. Composition. Please.	https://twitter.com/fionamcdonald_/status/1059563480523661312		UK	neg
Literally the worst football match I've ever been to.	https://twitter.com/Coops250709/status/1059557319720271873		UK	neg
And Caroline Lucas can fuck off she's such a stupid cow..	https://twitter.com/rafatjah/status/1059552639996825600		UK	neg
@Hermesparcels you are a disgrace. Worst customer service ever. Call yourself a business! Bunch of clowns! Liars. Should be done for fraud!	https://twitter.com/ab51alf/status/1059544914537693184		UK	neg
Pisses me off when people can’t understand my banter shut the fuck up	https://twitter.com/_emilypellicci/status/1059544047319179264		UK	neg
They're annoying me so much, that I just want to blow them all up!	https://twitter.com/twoemjames/status/1059542847366537216		UK	neg
Absolutely disgusting. What is wrong with people?!	https://twitter.com/PeanessBand/status/1059519825029017603		UK	neg
Just cried watching that video of those fuckfaces burning a grenfell tower effigy. Psychopaths. Heartbroken and utterly disgusted by what our species is capable of.😰	https://twitter.com/PeanessBand/status/1059519825029017603		UK	neg
People are the worst	https://twitter.com/PeanessBand/status/1059519825029017603		UK	neg
What the actual fuck? Unbelievable	https://twitter.com/PeanessBand/status/1059519825029017603		UK	neg
Some people really are pathetic 🤦🏻‍♀️	https://twitter.com/Yeritsme_nicole/status/1059523493161775104		UK	neg
Missing someone is the worst feeling ever😢😢	https://twitter.com/milanmcole/status/1059520040196886528		UK	neg
in Birmingham and I’ve just realised how disgusting the accent is 🤢	https://twitter.com/hollieingramx/status/1059497085609934848		UK	neg
